Name,Price,Location,Date,Today,num_rooms,size,floor
3 otaqlı138.4 m²9/19 mərtəbə,227 000,Şah İsmayıl Xətai m.,"Bakı, bugün 14:30",06/15/2022,3 ,138.4 ,9/19 
4 otaqlı80 m²6/9 mərtəbə,180 000,9-cu mikrorayon q.,"Bakı, bugün 14:49",06/15/2022,4 ,80 ,6/9 
3 otaqlı80 m²2/5 mərtəbə,125 000,Yasamal r.,"Bakı, bugün 14:30",06/15/2022,3 ,80 ,2/5 
2 otaqlı45 m²4/5 mərtəbə,69 000,İnşaatçılar m.,"Bakı, bugün 14:29",06/15/2022,2 ,45 ,4/5 
4 otaqlı217 m²14/19 mərtəbə,610 000,Elmlər Akademiyası m.,"Bakı, bugün 14:29",06/15/2022,4 ,217 ,14/19 
3 otaqlı101 m²14/17 mərtəbə,235 000,Nizami m.,"Bakı, 12 i̇yun 2022",06/15/2022,3 ,101 ,14/17 
4 otaqlı146 m²16/19 mərtəbə,165 000,Həzi Aslanov m.,"Bakı, 12 i̇yun 2022",06/15/2022,4 ,146 ,16/19 
2 otaqlı66 m²18/18 mərtəbə,86 000,Yeni Yasamal q.,"Bakı, dünən 14:13",06/15/2022,2 ,66 ,18/18 
2 otaqlı67 m²12/16 mərtəbə,113 000,28 May m.,"Bakı, bugün 15:10",06/15/2022,2 ,67 ,12/16 
2 otaqlı65.2 m²,260 474,Sea Breeze ,"Bakı, dünən 14:47",06/15/2022,2 ,65.2 ,
3 otaqlı110.3 m²,209 494,Bakı,"Bakı, 09 i̇yun 2022",06/15/2022,3 ,110.3 ,
1 otaqlı45.6 m²,86 640,Bakı,"Bakı, 02 i̇yun 2022",06/15/2022,1 ,45.6 ,
2 otaqlı70.9 m²,88 625,Bakı,"Bakı, bugün 10:39",06/15/2022,2 ,70.9 ,
3 otaqlı60.1 m²5/5 mərtəbə,230 000,Sahil m.,"Bakı, bugün 14:28",06/15/2022,3 ,60.1 ,5/5 
2 otaqlı50 m²7/10 mərtəbə,54 500,Masazır q.,"Bakı, bugün 14:28",06/15/2022,2 ,50 ,7/10 
1 otaqlı64 m²5/17 mərtəbə,100 000,Nəriman Nərimanov m.,"Bakı, bugün 14:28",06/15/2022,1 ,64 ,5/17 
2 otaqlı70 m²17/17 mərtəbə,130 000,7-ci mikrorayon q.,"Bakı, bugün 14:28",06/15/2022,2 ,70 ,17/17 
4 otaqlı150 m²7/18 mərtəbə,250 000,İnşaatçılar m.,"Bakı, bugün 14:28",06/15/2022,4 ,150 ,7/18 
3 otaqlı90 m²4/9 mərtəbə,155 000,Nəsimi m.,"Bakı, bugün 14:27",06/15/2022,3 ,90 ,4/9 
3 otaqlı101 m²1/5 mərtəbə,145 000,Nərimanov r.,"Bakı, bugün 14:25",06/15/2022,3 ,101 ,1/5 
2 otaqlı50 m²1/5 mərtəbə,77 000,Memar Əcəmi m.,"Bakı, bugün 14:24",06/15/2022,2 ,50 ,1/5 
2 otaqlı100 m²5/16 mərtəbə,174 000,Nəsimi r.,"Bakı, bugün 14:24",06/15/2022,2 ,100 ,5/16 
3 otaqlı110 m²9/17 mərtəbə,220 000,Səbail r.,"Bakı, bugün 14:23",06/15/2022,3 ,110 ,9/17 
3 otaqlı130 m²2/2 mərtəbə,60 000,Puta q.,"Bakı, bugün 14:23",06/15/2022,3 ,130 ,2/2 
3 otaqlı82 m²2/9 mərtəbə,157 000,Qara Qarayev m.,"Bakı, bugün 14:23",06/15/2022,3 ,82 ,2/9 
3 otaqlı72 m²6/10 mərtəbə,155 000,Badamdar q.,"Bakı, bugün 14:22",06/15/2022,3 ,72 ,6/10 
2 otaqlı103 m²20/22 mərtəbə,103 000,20 Yanvar m.,"Bakı, bugün 14:22",06/15/2022,2 ,103 ,20/22 
4 otaqlı204 m²2/18 mərtəbə,224 000,Binəqədi r.,"Bakı, bugün 14:21",06/15/2022,4 ,204 ,2/18 
3 otaqlı130 m²4/18 mərtəbə,188 000,8-ci mikrorayon q.,"Bakı, bugün 14:21",06/15/2022,3 ,130 ,4/18 
2 otaqlı95 m²11/16 mərtəbə,155 000,Yasamal q.,"Bakı, bugün 14:21",06/15/2022,2 ,95 ,11/16 
2 otaqlı70 m²12/16 mərtəbə,160 000,Nəsimi r.,"Bakı, bugün 14:24",06/15/2022,2 ,70 ,12/16 
4 otaqlı170 m²17/18 mərtəbə,280 000,İnşaatçılar m.,"Bakı, bugün 14:19",06/15/2022,4 ,170 ,17/18 
3 otaqlı65 m²3/4 mərtəbə,102 000,Gənclik m.,"Bakı, bugün 14:19",06/15/2022,3 ,65 ,3/4 
4 otaqlı220 m²18/18 mərtəbə,242 000,Nərimanov r.,"Bakı, bugün 14:19",06/15/2022,4 ,220 ,18/18 
3 otaqlı92 m²10/10 mərtəbə,159 000,Gənclik m.,"Bakı, bugün 14:18",06/15/2022,3 ,92 ,10/10 
2 otaqlı100 m²15/17 mərtəbə,100 000,Yeni Yasamal q.,"Bakı, bugün 14:18",06/15/2022,2 ,100 ,15/17 
3 otaqlı100 m²7/20 mərtəbə,135 000,Əhmədli m.,"Bakı, bugün 14:17",06/15/2022,3 ,100 ,7/20 
4 otaqlı281 m²22/32 mərtəbə,2 100 000,Nəsimi r.,"Bakı, 10 i̇yun 2022",06/15/2022,4 ,281 ,22/32 
3 otaqlı160 m²3/18 mərtəbə,238 000,İnşaatçılar m.,"Bakı, dünən 11:42",06/15/2022,3 ,160 ,3/18 
5 otaqlı265 m²8/8 mərtəbə,320 000,Nəriman Nərimanov m.,"Bakı, 11 i̇yun 2022",06/15/2022,5 ,265 ,8/8 
3 otaqlı108 m²16/21 mərtəbə,179 000,Əhmədli q.,"Bakı, 13 i̇yun 2022",06/15/2022,3 ,108 ,16/21 
1 otaqlı50.8 m²,63 500,Bakı,"Bakı, dünən 16:11",06/15/2022,1 ,50.8 ,
1 otaqlı45.7 m²,57 112,Bakı,"Bakı, bugün 10:39",06/15/2022,1 ,45.7 ,
4 otaqlı223 m²,583 145,Bakı,"Bakı, 09 i̇yun 2022",06/15/2022,4 ,223 ,
3 otaqlı170 m²,323 000,Bakı,"Bakı, 03 i̇yun 2022",06/15/2022,3 ,170 ,
